allowance_id,employee_id,allowance_type,allowance_amount,allowance_start_date,allowance_end_date
96b2033a-10c0-4f03-98f0-8a77580f3935,E0000001,Laundry Allowance,1.49,2022-04-11,2022-04-17
dde03d8d-64ea-4b4f-91ec-914ce38dd826,E0000001,Laundry Allowance,1.49,2022-04-18,2022-04-24
ab68af2f-d482-4ab1-a661-e117ef614d24,E0000001,Laundry Allowance,1.49,2022-04-25,2022-05-01
a7ab7439-de9f-4de7-9d88-2d383fab433d,E0000001,Laundry Allowance,1.49,2022-05-02,2022-05-08
44652e0d-eb6a-4df1-ab5e-a858338be33c,E0000001,Laundry Allowance,1.49,2022-05-09,2022-05-15
393d7047-7db3-4da4-aeaf-e86b4b10e669,E0000001,Laundry Allowance,1.49,2022-05-16,2022-05-22
449f3122-0e8a-42a3-9906-86dee142b8d2,E0000001,Laundry Allowance,1.49,2022-05-23,2022-05-29
603ab01d-a13c-4996-9340-7f100eb7827c,E0000001,Laundry Allowance,1.49,2022-05-30,2022-06-05
d5d1a667-cad6-4469-8a61-4783029fc8af,E0000001,Laundry Allowance,1.49,2022-06-06,2022-06-12
d9a6b2c6-6527-4821-9760-0be60b21058d,E0000001,Laundry Allowance,1.49,2022-06-13,2022-06-19
15bf9c32-45f3-423e-ab36-8aa5bf70db92,E0000001,Laundry Allowance,1.49,2022-06-20,2022-06-26
87644e1e-894b-4518-b648-71fb45ed46db,E0000001,Laundry Allowance,1.49,2022-06-27,2022-07-03
9dc599c7-47ed-4779-bde2-8051252d2a2d,E0000001,Laundry Allowance,1.49,2022-07-04,2022-07-10
fff35abe-ba1f-4f20-a06a-9326d760eef4,E0000001,Laundry Allowance,1.49,2022-07-11,2022-07-17
a977c4af-6f11-4362-8f97-3306d2308caf,E0000001,Laundry Allowance,1.49,2022-07-18,2022-07-24
c2b70a1c-a99c-4f06-9b9c-1395abefab91,E0000001,Laundry Allowance,1.49,2022-07-25,2022-07-31
97bd441b-db09-4353-9ea4-77e21e8a9bcf,E0000001,Laundry Allowance,1.49,2022-08-01,2022-08-07
a8bea5dd-95f3-4bf4-8d85-b83cc91a24ea,E0000001,Laundry Allowance,1.49,2022-08-08,2022-08-14
e304ef1e-9b8a-4312-87e2-18a415b136fd,E0000001,Laundry Allowance,1.49,2022-08-15,2022-08-21
28e0c039-66a6-4f48-858c-2b52c0d105e4,E0000001,Laundry Allowance,1.49,2022-08-22,2022-08-28
d3c8af04-a74d-4d09-bb9c-b7345d7dd7e8,E0000001,Laundry Allowance,1.49,2022-08-29,2022-09-04
7a98b1b9-a6df-4793-a636-d484c3ed4672,E0000001,Laundry Allowance,1.49,2022-09-05,2022-09-11
6c2999ad-cd87-46d3-b1a8-ffe8fed268aa,E0000001,Laundry Allowance,1.49,2022-09-12,2022-09-18
c7d523f6-9220-4c01-8bdb-e7e05e435cfe,E0000001,Laundry Allowance,1.49,2022-09-19,2022-09-25
b5110253-cf58-4cca-a0f1-05a15312274d,E0000001,Laundry Allowance,1.49,2022-09-26,2022-10-02
4e3c4dc8-252e-44f8-9930-ce1b980401d8,E0000013,Laundry Allowance,1.49,2021-07-14,2021-07-20
e812a0a0-5fdd-4b39-a701-8e6f795b8e84,E0000013,Laundry Allowance,1.49,2021-07-21,2021-07-27
2eb01703-3e8f-4782-9008-c95e07fa6aff,E0000013,Laundry Allowance,1.49,2021-07-28,2021-08-03
7dc2122e-a9b9-427b-a772-b8b8cbfda092,E0000013,Laundry Allowance,1.49,2021-08-04,2021-08-10
4515e06b-6bb4-4578-b8f8-17de24dc5041,E0000013,Laundry Allowance,1.49,2021-08-11,2021-08-17
8d834a87-2406-4255-9dbd-a49b57969d0c,E0000013,Laundry Allowance,1.49,2021-08-18,2021-08-24
d03c668d-aab4-4eff-b074-6dd69e5262a1,E0000013,Laundry Allowance,1.49,2021-08-25,2021-08-31
1c4a57eb-7551-4406-aa37-9fa8af684d1c,E0000013,Laundry Allowance,1.49,2021-09-01,2021-09-07
d4d57f04-3a2e-4a96-ac55-81f8af76a1e0,E0000013,Laundry Allowance,1.49,2021-09-08,2021-09-14
912ae537-69fc-479e-a7e4-fe8e4a04ab94,E0000013,Laundry Allowance,1.49,2021-09-15,2021-09-21
61a4eb28-034a-42cc-87c4-088a4efa0654,E0000013,Laundry Allowance,1.49,2021-09-22,2021-09-28
53daa624-2fd7-479b-909f-1f13703eb273,E0000013,Laundry Allowance,1.49,2021-09-29,2021-10-05
f36b91e7-f0a1-4ab3-a7a2-c845fbaeb55d,E0000013,Laundry Allowance,1.49,2021-10-06,2021-10-12
ac0c152e-aa99-4a70-8498-5c11e253bc92,E0000013,Laundry Allowance,1.49,2021-10-13,2021-10-19
c8cd23a7-5df4-47a6-9e41-b6178c805ee0,E0000013,Laundry Allowance,1.49,2021-10-20,2021-10-26
1f3b977d-c2c3-40d5-ab01-c8a75d474b40,E0000013,Laundry Allowance,1.49,2021-10-27,2021-11-02
2e6b34c5-66f2-4d80-9233-28f97e7ab259,E0000013,Laundry Allowance,1.49,2021-11-03,2021-11-09
565c5a9a-0fc8-42ab-8c6a-48d18ddad54c,E0000013,Laundry Allowance,1.49,2021-11-10,2021-11-16
