contract_id,employee_id,start_date,end_date,pay_rate,job_title,payment_frequency,contract_type,employment_type,contract_status
ace4deaa-5f69-473e-87a7-0ac46770468a,E0000001,2022-04-04,2022-10-01,41.75,Cleaner,Weekly,Fixed-Term,Full-time,Expired
61d3ba91-5e07-4fff-8c4a-00480c9a5f77,E0000002,2021-12-25,,20.42,IT Support Specialist,Weekly,Casual,Casual,Active
17f229b3-09fa-4511-b246-eac25fd41f3a,E0000003,2022-12-10,,39.05,Security Guard,Monthly,Permanent,Part-time,Active
7ee4d2bf-0fc2-46aa-b161-59bd63e39c9f,E0000004,2023-08-09,,42.77,Software Developer,Weekly,Casual,Casual,Active
6d8f2524-e3e4-4d32-b109-81ee541d8a5d,E0000005,2023-04-21,,30.92,Security Guard,Fortnightly,Permanent,Full-time,Active
58f836ad-864f-476e-a413-9d69193ca6f0,E0000006,2021-01-11,,39.88,IT Support Specialist,Weekly,Casual,Casual,Active
f682d4e3-2ccf-47a9-b9fd-c7abc218cfd6,E0000007,2021-01-14,2022-01-09,28.68,IT Support Specialist,Monthly,Fixed-Term,Part-time,Expired
84058532-9158-49af-b7d4-b90169bb9340,E0000008,2024-07-16,,27.48,Software Developer,Monthly,Casual,Casual,Active
3c737628-905b-4a6f-8772-2e6922e65a17,E0000009,2024-09-18,,49.42,Software Developer,Fortnightly,Permanent,Part-time,Active
7757b931-f49f-4508-8ba5-733d74fa4aae,E0000010,2025-01-12,2025-07-11,33.67,Administrative Assistant,Weekly,Fixed-Term,Full-time,Active
40303ac5-5e31-4be0-aa9d-53c42fa1eda3,E0000011,2023-03-09,2024-03-03,25.5,IT Support Specialist,Weekly,Fixed-Term,Part-time,Expired
5b49ad02-e523-4f30-a244-7fdf21de4941,E0000012,2024-04-20,,42.77,Software Developer,Monthly,Casual,Casual,Active
db7201e1-2a29-41ab-b3bf-db500019ff0a,E0000013,2021-07-07,,33.18,Cleaner,Weekly,Permanent,Part-time,Active
2f559dac-c01b-431d-9765-f022a6cbb532,E0000014,2023-06-04,,48.45,Security Guard,Monthly,Permanent,Part-time,Active
a3a54d05-8c97-4b1b-8425-3c6e03261f1d,E0000015,2021-06-26,,33.38,IT Support Specialist,Weekly,Casual,Casual,Active
f0651d2a-1160-4e4c-a368-4a90f8ee6977,E0000016,2025-01-20,,43.63,Security Guard,Monthly,Casual,Casual,Active
45a80e04-406b-48c6-ae9d-38a676209e70,E0000017,2022-11-30,2023-11-25,28.27,Cleaner,Weekly,Fixed-Term,Full-time,Expired
c2f114dd-7278-4007-8af4-6e984a1662cd,E0000018,2021-05-27,,46.94,Security Guard,Monthly,Casual,Casual,Active
5cb44c94-cba9-468f-ba93-ca7a2074cd4f,E0000019,2021-08-05,,32.44,IT Support Specialist,Fortnightly,Permanent,Full-time,Active
85187e61-b62d-4926-a8e3-84234311de08,E0000019,2021-02-05,2021-08-04,30.82,IT Support Specialist,Monthly,Permanent,Full-time,Expired
d99245e3-d5dd-47a7-9c1b-996a91dab5f7,E0000020,2024-12-23,,43.76,IT Support Specialist,Weekly,Permanent,Part-time,Active
306a8319-5eec-4b3d-8105-af42901fdc24,E0000021,2025-03-03,,41.09,Security Guard,Weekly,Casual,Casual,Active
9155bb3e-60d9-400e-af9c-f73ae8d88924,E0000022,2024-10-05,2025-01-11,40.98,Security Guard,Fortnightly,Permanent,Part-time,Terminated
2173a4b6-fe98-479b-94bb-fb9466b7d3bc,E0000023,2022-04-25,,44.36,Nurse,Weekly,Permanent,Full-time,Active
77e19d65-73c3-480e-bd03-d5b319f1a0d0,E0000024,2022-08-18,,20.27,Cleaner,Weekly,Permanent,Part-time,Active
b0651bd6-a63e-4724-9657-de156aa3c76c,E0000025,2023-03-05,2025-02-22,47.62,Nurse,Weekly,Fixed-Term,Part-time,Expired
4687d84c-8f6a-4abb-a72f-d94d13ec2663,E0000026,2021-07-28,2022-07-23,33.36,IT Support Specialist,Fortnightly,Fixed-Term,Part-time,Expired
8f53e99d-4b5b-421f-b893-e6c2e230795f,E0000027,2023-03-18,,45.53,Security Guard,Fortnightly,Permanent,Part-time,Active
d0f75337-ea4d-436b-a32c-692cea6d4c8d,E0000028,2022-05-14,,24.87,Software Developer,Weekly,Casual,Casual,Active
a1b6e238-313c-47c4-aceb-13f250a4c58c,E0000029,2025-03-04,,44.08,Administrative Assistant,Monthly,Permanent,Part-time,Active
21e9cdc7-bcbd-443f-9b90-0b51a82454b2,E0000030,2021-07-29,,20.08,Administrative Assistant,Monthly,Casual,Casual,Active
a0c0769a-26e4-467a-a419-aab9238db84c,E0000031,2022-06-03,,21.97,IT Support Specialist,Monthly,Permanent,Full-time,Active
833680fe-d43f-445c-a0be-a8edede74a32,E0000032,2024-03-13,,33.74,Security Guard,Fortnightly,Casual,Casual,Active
5345ad7d-4edd-4ac5-85a1-8210a32c69cd,E0000033,2022-01-18,2023-01-13,38.76,Nurse,Weekly,Fixed-Term,Part-time,Expired
cd6aee17-400b-4f94-9666-a93b79cf2d28,E0000034,2023-06-03,,30.67,Administrative Assistant,Fortnightly,Casual,Casual,Active
c91525cf-12f2-45e0-b90c-80777a5c8fcc,E0000035,2024-12-13,,35.0,Security Guard,Weekly,Permanent,Full-time,Active
c8a08232-5353-4b15-8c4f-c3ba17447b5a,E0000035,2024-06-15,2024-12-12,33.25,Security Guard,Monthly,Fixed-Term,Full-time,Expired
77b83bfc-3ecf-43b4-ad47-d31164a2e4c8,E0000036,2025-01-12,2027-01-02,22.87,Nurse,Weekly,Fixed-Term,Full-time,Active
7adc72be-b7c8-4813-bc2b-9ae5f533e0c6,E0000037,2022-10-30,,31.73,Cleaner,Weekly,Casual,Casual,Active
069a0b88-d4b1-471c-b0b2-5c0c33c1280a,E0000038,2023-08-24,,27.96,Administrative Assistant,Fortnightly,Permanent,Part-time,Active
5b2019d2-0d58-44f6-a216-b21ef439b77f,E0000039,2022-12-22,,34.36,Software Developer,Monthly,Casual,Casual,Active
9af2badb-7d1e-4ba4-89a4-c7ba761ad73b,E0000040,2024-10-14,,47.67,Security Guard,Monthly,Casual,Casual,Active
3098775d-e647-4a93-a037-37dbe75c1e05,E0000041,2022-10-26,,35.42,Software Developer,Fortnightly,Permanent,Part-time,Active
100049d4-5f50-4533-979f-a3436322bae8,E0000042,2022-09-18,,26.47,Cleaner,Weekly,Casual,Casual,Active
7607aef8-e8ca-4e22-94fa-32f3e0ced17a,E0000043,2023-06-17,2024-03-10,47.85,Cleaner,Weekly,Fixed-Term,Full-time,Terminated
594f2366-cebb-4e09-8289-859d052cbd07,E0000044,2023-02-12,,21.27,Nurse,Weekly,Casual,Casual,Active
